Student ID,Admn. No.,Class,Roll No.,Student Name,Father's Name,Maths,Science,English,History,Sanskrit
TVMS52321,1531,9th A,1,Anvesh Jain,Adarsh Jain,77,87,91,71,80
TVMS52322,1532,6th A,2,Shiromani Shukla,Chandresh Shukla,72,60,80,83,64
TVMS52323,1533,1st B,3,Drishti Kharbanda,Rishi Kharbanda,76,69,77,62,64
TVMS52324,1534,3rd B,4,Bhumi Kher,Abhinav Kher,83,70,72,96,80
TVMS52325,1535,7th A,5,Jignesh,Jayesh,91,98,83,78,65
TVMS52326,1536,4th D,6,Amrendra Sukla,Jitendra Shukla,62,88,98,84,96
TVMS52327,1537,4th A,7,Jinny Goyal,Anup Goyal,65,62,72,68,62
TVMS52328,1538,5th B,8,Anuj Kumar,Bhawesh Kumar,81,74,92,91,69
TVMS52329,1539,6th A,9,Shiv Nadar,Shambhu Nadar,61,69,60,74,90
TVMS52330,1540,2nd D,10,Dhriti Sharma,Rakesh Sharma,74,93,91,63,62
TVMS52331,1541,10th A,11,Shehzada Sheikh,Shehenshah Sheikh,68,81,72,86,85
TVMS52332,1542,9th C,12,Farooq Abdullah,Faraaz Abdullah,64,87,62,67,60
TVMS52333,1543,4th C,13,Teja Reddy,Ranga Reddy,67,92,83,94,70
TVMS52334,1544,4th A,14,Josheph Emmanuel,Michel Emmanuel,76,92,76,96,78
TVMS52335,1545,5th B,15,Jayesh Dwivedi,Rakesh Dwivedi,72,82,80,76,91
TVMS52336,1546,6th A,16,Rosy Cindrella,Edvith Garelo,78,86,73,91,86
TVMS52337,1547,2nd D,17,Kumari Anita,Kailash Kumar,79,63,66,87,87
TVMS52338,1548,2nd A,18,Amrita Kushwah,Nitin Kushwah,74,97,72,64,73
TVMS52339,1549,5th A,19,Vrinda Sharma,Raunak Sharma,79,64,74,83,73
TVMS52340,1550,6th B,20,Arnaz Sheihk,Salman Sheikh,65,82,93,72,88
TVMS52341,1551,7th A,21,Arnab Gupta,Jaspreet Gupta,81,92,95,82,65
TVMS52342,1552,3rd D,22,Arshita Gautam,Saurabh Kr. Gautam,93,86,60,78,91
TVMS52343,1553,3rd A,23,Jannat Khan,Rizvan Khan,80,95,91,87,99
TVMS52344,1554,4th C,24,Wilson Robert,Luckas Robert,89,87,67,60,66
TVMS52345,1555,5th B,25,Hardik Bhardhwaj,Bharat Bhardhwaj,98,71,95,98,63
TVMS52346,1556,7th B,26,Manan Bhanushali,Kuljeet Bhanushali,96,74,81,81,81
TVMS52347,1557,8th A,27,Aprajita Sharma,Arnav Sharma,71,89,65,77,95
TVMS52348,1558,5th D,28,Sohail Saifi,Irfan Saifi,94,83,79,73,100
TVMS52349,1559,5th A,29,Jasleen Bhatt,Mishresh Bhatt,91,96,76,60,91
TVMS52350,1560,6th B,30,Kiara Sharma,Vinod Kumar Sharma,68,95,82,94,61
TVMS52351,1561,7th A,31,Jisjet Singh,Harshvardhan Singh,69,71,78,87,82
